订单号,产品类别,产品名称,销售数量,单价
ORD-001,电子产品,智能手机,2,3999
ORD-002,服装鞋帽,T恤,5,89
ORD-003,食品饮料,纯牛奶,10,68
ORD-004,家居用品,台灯,3,159
ORD-005,办公耗材,A4打印纸,8,22
ORD-006,电子产品,蓝牙耳机,4,299
ORD-007,服装鞋帽,运动鞋,2,459
ORD-008,食品饮料,矿泉水,20,36
ORD-009,家居用品,收纳箱,6,79
ORD-010,办公耗材,中性笔,30,3
ORD-011,电子产品,平板电脑,1,2899
ORD-012,服装鞋帽,羽绒服,2,899
ORD-013,食品饮料,薯片,15,12
ORD-014,家居用品,保温杯,4,129
ORD-015,办公耗材,文件夹,12,8
ORD-016,电子产品,智能手表,3,1599
ORD-017,服装鞋帽,牛仔裤,3,269
ORD-018,食品饮料,果汁,8,45
ORD-019,家居用品,枕头,4,89
ORD-020,办公耗材,订书机,6,18
ORD-021,电子产品,笔记本电脑,1,5999
ORD-022,服装鞋帽,衬衫,3,199
ORD-023,食品饮料,咖啡,5,99
ORD-024,家居用品,地毯,2,369
ORD-025,办公耗材,笔记本,15,12
ORD-026,电子产品,充电宝,7,199
ORD-027,服装鞋帽,短裤,4,129
ORD-028,食品饮料,方便面,12,6
ORD-029,家居用品,衣架,20,15
ORD-030,办公耗材,胶水,10,5
ORD-031,电子产品,相机,1,4999
ORD-032,服装鞋帽,连衣裙,2,359
ORD-033,食品饮料,巧克力,8,28
ORD-034,家居用品,电风扇,3,259
ORD-035,办公耗材,剪刀,5,12
ORD-036,电子产品,音箱,3,499
ORD-037,服装鞋帽,卫衣,4,189
ORD-038,食品饮料,酸奶,9,48
ORD-039,家居用品,晾衣架,6,35
ORD-040,办公耗材,打印墨盒,4,89
ORD-041,电子产品,手机壳,8,39
ORD-042,服装鞋帽,袜子,25,15
ORD-043,食品饮料,饼干,10,18
ORD-044,家居用品,储物柜,1,599
ORD-045,办公耗材,回形针,50,2
ORD-046,电子产品,耳机转接头,6,29
ORD-047,服装鞋帽,风衣,2,599
ORD-048,食品饮料,茶叶,3,128
ORD-049,家居用品,拖鞋,7,45
ORD-050,办公耗材,文件袋,20,6
ORD-051,电子产品,智能手环,5,299
ORD-052,服装鞋帽,背心,6,79
ORD-053,食品饮料,米,4,85
ORD-054,家居用品,沙发垫,3,199
ORD-055,办公耗材,铅笔,40,2
ORD-056,电子产品,投影仪,1,3899
ORD-057,服装鞋帽,夹克,2,429
ORD-058,食品饮料,食用油,5,109
ORD-059,家居用品,垃圾桶,8,29
ORD-060,办公耗材,橡皮擦,30,3
ORD-061,电子产品,鼠标,6,89
ORD-062,服装鞋帽,围巾,4,79
ORD-063,食品饮料,蜂蜜,3,68
ORD-064,家居用品,窗帘,2,299
ORD-065,办公耗材,尺子,10,5
ORD-066,电子产品,键盘,4,199
ORD-067,服装鞋帽,手套,8,45
ORD-068,食品饮料,面条,6,28
ORD-069,家居用品,香薰,5,39
ORD-070,办公耗材,档案盒,12,10
ORD-071,电子产品,U盘,7,99
ORD-072,服装鞋帽,帽子,5,69
ORD-073,食品饮料,糖果,12,15
ORD-074,家居用品,镜子,3,159
ORD-075,办公耗材,白板笔,8,7
ORD-076,电子产品,移动硬盘,2,599
ORD-077,服装鞋帽,睡衣,3,159
ORD-078,食品饮料,饼干礼盒,6,88
ORD-079,家居用品,挂钟,2,199
ORD-080,办公耗材,信封,25,4
ORD-081,电子产品,自拍杆,5,49
ORD-082,服装鞋帽,泳衣,2,129
ORD-083,食品饮料,面包,7,12
ORD-084,家居用品,鞋架,3,109
ORD-085,办公耗材,计算器,4,39
ORD-086,电子产品,路由器,3,299
ORD-087,服装鞋帽,皮包,2,699
ORD-088,食品饮料,坚果,6,58
ORD-089,家居用品,台布,5,45
ORD-090,办公耗材,订书钉,20,3
ORD-091,电子产品,手写笔,6,89
ORD-092,服装鞋帽,腰带,4,59
ORD-093,食品饮料,果冻,8,12
ORD-094,家居用品,地垫,5,69
ORD-095,办公耗材,复写纸,9,15
ORD-096,电子产品,耳机,4,199
ORD-097,服装鞋帽,西装,1,1299
ORD-098,食品饮料,奶粉,3,168
ORD-099,家居用品,花瓶,2,89
ORD-100,办公耗材,笔筒,7,25
