订单号,产品类别,产品名称,销售数量,单价,货源,客户所在地,订单发起日期,订单结束日期
ORD-001,电子产品,智能手机,2,3999,深圳华强北,广东省深圳市,2026-01-05,2026-01-12
ORD-002,服装鞋帽,T恤,5,89,广州十三行,浙江省杭州市,2026-01-06,2026-01-10
ORD-003,食品饮料,纯牛奶,10,68,内蒙古牧场,上海市浦东新区,2026-01-07,2026-01-15
ORD-004,家居用品,台灯,3,159,中山古镇,江苏省南京市,2026-01-08,2026-01-14
ORD-005,办公耗材,A4打印纸,8,22,东莞造纸厂,北京市朝阳区,2026-01-09,2026-01-13
ORD-006,电子产品,蓝牙耳机,4,299,深圳科技园,广东省广州市,2026-01-10,2026-01-18
ORD-007,服装鞋帽,运动鞋,2,459,福建晋江,福建省厦门市,2026-01-11,2026-01-17
ORD-008,食品饮料,矿泉水,20,36,农夫山泉,湖北省武汉市,2026-01-12,2026-01-20
ORD-009,家居用品,收纳箱,6,79,浙江义乌,四川省成都市,2026-01-13,2026-01-19
ORD-010,办公耗材,中性笔,30,3,温州文具厂,山东省济南市,2026-01-14,2026-01-16
ORD-011,电子产品,平板电脑,1,2899,深圳南山科技园,陕西省西安市,2026-01-15,2026-01-22
ORD-012,服装鞋帽,羽绒服,2,899,浙江杭州,辽宁省沈阳市,2026-01-16,2026-01-25
ORD-013,食品饮料,薯片,15,12,上海食品厂,重庆市渝北区,2026-01-17,2026-01-21
ORD-014,家居用品,保温杯,4,129,浙江永康,湖南省长沙市,2026-01-18,2026-01-24
ORD-015,办公耗材,文件夹,12,8,广东深圳,河南省郑州市,2026-01-19,2026-01-23
ORD-016,电子产品,智能手表,3,1599,深圳宝安,安徽省合肥市,2026-01-20,2026-01-28
ORD-017,服装鞋帽,牛仔裤,3,269,广东中山,江西省南昌市,2026-01-21,2026-01-27
ORD-018,食品饮料,果汁,8,45,北京汇源,河北省石家庄市,2026-01-22,2026-01-26
ORD-019,家居用品,枕头,4,89,江苏南通,山西省太原市,2026-01-23,2026-01-29
ORD-020,办公耗材,订书机,6,18,宁波文具厂,吉林省长春市,2026-01-24,2026-01-28
ORD-021,电子产品,笔记本电脑,1,5999,深圳华强北,黑龙江省哈尔滨市,2026-01-25,2026-02-01
ORD-022,服装鞋帽,衬衫,3,199,浙江宁波,江苏省苏州市,2026-01-26,2026-01-31
ORD-023,食品饮料,咖啡,5,99,云南普洱,云南省昆明市,2026-01-27,2026-02-02
ORD-024,家居用品,地毯,2,369,新疆和田,新疆乌鲁木齐市,2026-01-28,2026-02-05
ORD-025,办公耗材,笔记本,15,12,广东广州,甘肃省兰州市,2026-01-29,2026-02-03
ORD-026,电子产品,充电宝,7,199,深圳龙华,青海省西宁市,2026-01-30,2026-02-06
ORD-027,服装鞋帽,短裤,4,129,广州白云,宁夏银川市,2026-01-31,2026-02-04
ORD-028,食品饮料,方便面,12,6,天津康师傅,西藏拉萨市,2026-02-01,2026-02-07
ORD-029,家居用品,衣架,20,15,浙江台州,内蒙古呼和浩特市,2026-02-02,2026-02-08
ORD-030,办公耗材,胶水,10,5,广东佛山,广西南宁市,2026-02-03,2026-02-09
ORD-031,电子产品,相机,1,4999,日本进口,海南省海口市,2026-02-04,2026-02-12
ORD-032,服装鞋帽,连衣裙,2,359,浙江杭州,贵州省贵阳市,2026-02-05,2026-02-11
ORD-033,食品饮料,巧克力,8,28,瑞士进口,广东省珠海市,2026-02-06,2026-02-10
ORD-034,家居用品,电风扇,3,259,广东顺德,广东省佛山市,2026-02-07,2026-02-14
ORD-035,办公耗材,剪刀,5,12,浙江义乌,浙江省温州市,2026-02-08,2026-02-13
ORD-036,电子产品,音箱,3,499,深圳科技园,江苏省无锡市,2026-02-09,2026-02-16
ORD-037,服装鞋帽,卫衣,4,189,广东东莞,福建省福州市,2026-02-10,2026-02-15
ORD-038,食品饮料,酸奶,9,48,伊利集团,湖北省宜昌市,2026-02-11,2026-02-18
ORD-039,家居用品,晾衣架,6,35,浙江永康,湖南省株洲市,2026-02-12,2026-02-17
ORD-040,办公耗材,打印墨盒,4,89,广东深圳,山东省青岛市,2026-02-13,2026-02-19
ORD-041,电子产品,手机壳,8,39,深圳华强北,陕西省宝鸡市,2026-02-14,2026-02-20
ORD-042,服装鞋帽,袜子,25,15,浙江诸暨,辽宁省大连市,2026-02-15,2026-02-21
ORD-043,食品饮料,饼干,10,18,广东东莞,重庆市江北区,2026-02-16,2026-02-22
ORD-044,家居用品,储物柜,1,599,广东佛山,四川省绵阳市,2026-02-17,2026-02-25
ORD-045,办公耗材,回形针,50,2,上海文具厂,河南省洛阳市,2026-02-18,2026-02-24
ORD-046,电子产品,耳机转接头,6,29,深圳龙岗,安徽省芜湖市,2026-02-19,2026-02-23
ORD-047,服装鞋帽,风衣,2,599,浙江杭州,江西省赣州市,2026-02-20,2026-02-27
ORD-048,食品饮料,茶叶,3,128,福建武夷山,河北省唐山市,2026-02-21,2026-02-28
ORD-049,家居用品,拖鞋,7,45,浙江温州,山西省大同市,2026-02-22,2026-02-26
ORD-050,办公耗材,文件袋,20,6,广东广州,吉林省吉林市,2026-02-23,2026-03-01
ORD-051,电子产品,智能手环,5,299,深圳南山,黑龙江省大庆市,2026-02-24,2026-03-02
ORD-052,服装鞋帽,背心,6,79,广州白云,江苏省徐州市,2026-02-25,2026-03-03
ORD-053,食品饮料,米,4,85,黑龙江五常,浙江省宁波市,2026-02-26,2026-03-04
ORD-054,家居用品,沙发垫,3,199,广东顺德,福建省泉州市,2026-02-27,2026-03-05
ORD-055,办公耗材,铅笔,40,2,浙江义乌,山东省烟台市,2026-02-28,2026-03-06
ORD-056,电子产品,投影仪,1,3899,深圳科技园,湖南省衡阳市,2026-03-01,2026-03-08
ORD-057,服装鞋帽,夹克,2,429,福建石狮,湖北省襄阳市,2026-03-02,2026-03-09
ORD-058,食品饮料,食用油,5,109,金龙鱼,广东省惠州市,2026-03-03,2026-03-10
ORD-059,家居用品,垃圾桶,8,29,浙江台州,四川省宜宾市,2026-03-04,2026-03-11
ORD-060,办公耗材,橡皮擦,30,3,上海文具厂,陕西省咸阳市,2026-03-05,2026-03-12
ORD-061,电子产品,鼠标,6,89,深圳宝安,辽宁省鞍山市,2026-03-06,2026-03-13
ORD-062,服装鞋帽,围巾,4,79,浙江杭州,河南省新乡市,2026-03-07,2026-03-14
ORD-063,食品饮料,蜂蜜,3,68,吉林长白山,安徽省蚌埠市,2026-03-08,2026-03-15
ORD-064,家居用品,窗帘,2,299,浙江绍兴,江西省九江市,2026-03-09,2026-03-16
ORD-065,办公耗材,尺子,10,5,广东深圳,河北省邯郸市,2026-03-10,2026-03-17
ORD-066,电子产品,键盘,4,199,东莞电子厂,山西省临汾市,2026-03-11,2026-03-18
ORD-067,服装鞋帽,手套,8,45,浙江义乌,吉林省四平市,2026-03-12,2026-03-19
ORD-068,食品饮料,面条,6,28,河南郑州,黑龙江省齐齐哈尔市,2026-03-13,2026-03-20
ORD-069,家居用品,香薰,5,39,广东广州,江苏省盐城市,2026-03-14,2026-03-21
ORD-070,办公耗材,档案盒,12,10,宁波文具厂,浙江省嘉兴市,2026-03-15,2026-03-22
ORD-071,电子产品,U盘,7,99,深圳南山,福建省漳州市,2026-03-16,2026-03-23
ORD-072,服装鞋帽,帽子,5,69,浙江温州,山东省潍坊市,2026-03-17,2026-03-24
ORD-073,食品饮料,糖果,12,15,上海冠生园,湖南省岳阳市,2026-03-18,2026-03-25
ORD-074,家居用品,镜子,3,159,广东中山,湖北省黄石市,2026-03-19,2026-03-26
ORD-075,办公耗材,白板笔,8,7,广东佛山,广东省汕头市,2026-03-20,2026-03-27
ORD-076,电子产品,移动硬盘,2,599,深圳华强北,四川省泸州市,2026-03-21,2026-03-28
ORD-077,服装鞋帽,睡衣,3,159,广东东莞,陕西省渭南市,2026-03-22,2026-03-29
ORD-078,食品饮料,饼干礼盒,6,88,天津食品厂,辽宁省锦州市,2026-03-23,2026-03-30
ORD-079,家居用品,挂钟,2,199,广东广州,河南省平顶山市,2026-03-24,2026-03-31
ORD-080,办公耗材,信封,25,4,上海文具厂,安徽省安庆市,2026-03-25,2026-04-01
ORD-081,电子产品,自拍杆,5,49,深圳宝安,江西省景德镇市,2026-03-26,2026-04-02
ORD-082,服装鞋帽,泳衣,2,129,广东佛山,河北省秦皇岛市,2026-03-27,2026-04-03
ORD-083,食品饮料,面包,7,12,北京面包厂,山西省长治市,2026-03-28,2026-04-04
ORD-084,家居用品,鞋架,3,109,浙江义乌,吉林省通化市,2026-03-29,2026-04-05
ORD-085,办公耗材,计算器,4,39,深圳科技园,黑龙江省牡丹江市,2026-03-30,2026-04-06
ORD-086,电子产品,路由器,3,299,深圳龙华,江苏省连云港市,2026-03-31,2026-04-07
ORD-087,服装鞋帽,皮包,2,699,广州花都,浙江省湖州市,2026-04-01,2026-04-08
ORD-088,食品饮料,坚果,6,58,三只松鼠,福建省莆田市,2026-04-02,2026-04-09
ORD-089,家居用品,台布,5,45,浙江绍兴,山东省临沂市,2026-04-03,2026-04-10
ORD-090,办公耗材,订书钉,20,3,宁波文具厂,湖南省湘潭市,2026-04-04,2026-04-11
ORD-091,电子产品,手写笔,6,89,深圳南山,湖北省荆州市,2026-04-05,2026-04-12
ORD-092,服装鞋帽,腰带,4,59,浙江温州,广东省江门市,2026-04-06,2026-04-13
ORD-093,食品饮料,果冻,8,12,广东潮汕,四川省南充市,2026-04-07,2026-04-14
ORD-094,家居用品,地垫,5,69,浙江台州,陕西省延安市,2026-04-08,2026-04-15
ORD-095,办公耗材,复写纸,9,15,广东广州,辽宁省本溪市,2026-04-09,2026-04-16
ORD-096,电子产品,耳机,4,199,深圳科技园,河南省开封市,2026-04-10,2026-04-17
ORD-097,服装鞋帽,西装,1,1299,浙江宁波,安徽省淮南市,2026-04-11,2026-04-18
ORD-098,食品饮料,奶粉,3,168,内蒙古伊利,江西省新余市,2026-04-12,2026-04-19
ORD-099,家居用品,花瓶,2,89,江西景德镇,河北省保定市,2026-04-13,2026-04-20
ORD-100,办公耗材,笔筒,7,25,广东深圳,山西省运城市,2026-04-14,2026-04-21
