订单号,产品类别,产品名称,销售数量,单价,订单金额,销售区域,订单日期
ORD-001,电子产品,智能手机,2,3999,7998,华东,2026-01-05
ORD-002,服装鞋帽,T恤,5,89,445,华南,2026-01-06
ORD-003,食品饮料,纯牛奶,10,68,680,华北,2026-01-07
ORD-004,家居用品,台灯,3,159,477,华东,2026-01-08
ORD-005,办公耗材,A4打印纸,8,22,176,华南,2026-01-09
ORD-006,电子产品,蓝牙耳机,4,299,1196,华北,2026-01-10
ORD-007,服装鞋帽,运动鞋,2,459,918,华东,2026-01-11
ORD-008,食品饮料,矿泉水,20,36,720,华南,2026-01-12
ORD-009,家居用品,收纳箱,6,79,474,华北,2026-01-13
ORD-010,办公耗材,中性笔,30,3,90,华东,2026-01-14
ORD-001,电子产品,智能手机,2,3999,7998,华东,2026-01-05
ORD-012,服装鞋帽,羽绒服,2,899,1798,华北,2026-01-16
ORD-013,食品饮料,薯片,15,12,180,华东,2026-01-17
ORD-014,家居用品,保温杯,4,129,516,华南,2026-01-18
ORD-015,办公耗材,文件夹,12,8,96,华北,2026-01-19
ORD-016,电子产品,智能手表,3,1599,4797,华东,2026-01-20
ORD-017,服装鞋帽,牛仔裤,3,269,807,华南,2026-01-21
ORD-018,食品饮料,果汁,8,45,360,华北,2026-01-22
ORD-019,家居用品,枕头,4,89,356,华东,2026-01-23
ORD-020,办公耗材,订书机,6,18,108,华南,2026-01-24
ORD-021,电子产品,笔记本电脑,1,5999,5999,华北,2026-01-25
ORD-022,服装鞋帽,衬衫,3,199,597,华东,2026-01-26
ORD-023,食品饮料,咖啡,5,99,495,华南,2026-01-27
ORD-024,家居用品,地毯,2,369,738,华北,2026-01-28
ORD-025,办公耗材,笔记本,15,12,180,华东,2026-01-29
ORD-026,电子产品,充电宝,7,199,1393,华南,2026-01-30
ORD-027,服装鞋帽,短裤,4,129,516,华北,2026-01-31
ORD-028,食品饮料,方便面,12,6,72,华东,2026-02-01
ORD-029,家居用品,衣架,20,15,300,华南,2026-02-02
ORD-030,办公耗材,胶水,10,5,50,华北,2026-02-03
ORD-001,电子产品,智能手机,2,3999,7998,华东,2026-02-04
ORD-032,服装鞋帽,连衣裙,2,359,718,华南,2026-02-05
ORD-033,食品饮料,巧克力,8,28,224,华北,2026-02-06
ORD-034,家居用品,电风扇,3,259,777,华东,2026-02-07
ORD-035,办公耗材,剪刀,5,12,60,华南,2026-02-08
ORD-036,电子产品,音箱,3,499,1497,华北,2026-02-09
ORD-037,服装鞋帽,卫衣,4,189,756,华东,2026-02-10
ORD-038,食品饮料,酸奶,9,48,432,华南,2026-02-11
ORD-039,家居用品,晾衣架,6,35,210,华北,2026-02-12
ORD-040,办公耗材,打印墨盒,4,89,356,华东,2026-02-13
ORD-041,电子产品,手机壳,8,39,312,华南,2026-02-14
ORD-042,服装鞋帽,袜子,25,15,375,华北,2026-02-15
ORD-043,食品饮料,饼干,10,18,180,华东,2026-02-16
ORD-044,家居用品,储物柜,1,599,599,华南,2026-02-17
ORD-045,办公耗材,回形针,50,2,100,华北,2026-02-18
ORD-046,电子产品,耳机转接头,6,29,174,华东,2026-02-19
ORD-047,服装鞋帽,风衣,2,599,1198,华南,2026-02-20
ORD-048,食品饮料,茶叶,3,128,384,华北,2026-02-21
ORD-049,家居用品,拖鞋,7,45,315,华东,2026-02-22
ORD-050,办公耗材,文件袋,20,6,120,华南,2026-02-23
ORD-051,电子产品,智能手环,5,299,1495,华北,2026-02-24
ORD-052,服装鞋帽,背心,6,79,474,华东,2026-02-25
ORD-053,食品饮料,米,4,85,340,华南,2026-02-26
ORD-054,家居用品,沙发垫,3,199,597,华北,2026-02-27
ORD-055,办公耗材,铅笔,40,2,80,华东,2026-02-28
ORD-056,电子产品,投影仪,1,3899,3899,华南,2026-03-01
ORD-057,服装鞋帽,夹克,2,429,858,华北,2026-03-02
ORD-058,食品饮料,食用油,5,109,545,华东,2026-03-03
ORD-059,家居用品,垃圾桶,8,29,232,华南,2026-03-04
ORD-060,办公耗材,橡皮擦,30,3,90,华北,2026-03-05
ORD-061,电子产品,鼠标,6,89,534,华东,2026-03-06
ORD-062,服装鞋帽,围巾,4,79,316,华南,2026-03-07
ORD-063,食品饮料,蜂蜜,3,68,204,华北,2026-03-08
ORD-064,家居用品,窗帘,2,299,598,华东,2026-03-09
ORD-065,办公耗材,尺子,10,5,50,华南,2026-03-10
ORD-066,电子产品,键盘,4,199,796,华北,2026-03-11
ORD-067,服装鞋帽,手套,8,45,360,华东,2026-03-12
ORD-068,食品饮料,面条,6,28,168,华南,2026-03-13
ORD-069,家居用品,香薰,5,39,195,华北,2026-03-14
ORD-070,办公耗材,档案盒,12,10,120,华东,2026-03-15
ORD-071,电子产品,U盘,7,99,693,华南,2026-03-16
ORD-072,服装鞋帽,帽子,5,69,345,华北,2026-03-17
ORD-073,食品饮料,糖果,12,15,180,华东,2026-03-18
ORD-074,家居用品,镜子,3,159,477,华南,2026-03-19
ORD-075,办公耗材,白板笔,8,7,56,华北,2026-03-20
ORD-076,电子产品,移动硬盘,2,599,1198,华东,2026-03-21
ORD-077,服装鞋帽,睡衣,3,159,477,华南,2026-03-22
ORD-078,食品饮料,饼干礼盒,6,88,528,华北,2026-03-23
ORD-079,家居用品,挂钟,2,199,398,华东,2026-03-24
ORD-080,办公耗材,信封,25,4,100,华南,2026-03-25
ORD-081,电子产品,自拍杆,5,49,245,华北,2026-03-26
ORD-082,服装鞋帽,泳衣,2,129,258,华东,2026-03-27
ORD-083,食品饮料,面包,7,12,84,华南,2026-03-28
ORD-084,家居用品,鞋架,3,109,327,华北,2026-03-29
ORD-085,办公耗材,计算器,4,39,156,华东,2026-03-30
ORD-086,电子产品,路由器,3,299,897,华南,2026-03-31
ORD-087,服装鞋帽,皮包,2,699,1398,华北,2026-04-01
ORD-088,食品饮料,坚果,6,58,348,华东,2026-04-02
ORD-089,家居用品,台布,5,45,225,华南,2026-04-03
ORD-090,办公耗材,订书钉,20,3,60,华北,2026-04-04
ORD-091,电子产品,手写笔,6,89,534,华东,2026-04-05
ORD-092,服装鞋帽,腰带,4,59,236,华南,2026-04-06
ORD-093,食品饮料,果冻,8,12,96,华北,2026-04-07
ORD-094,家居用品,地垫,5,69,345,华东,2026-04-08
ORD-095,办公耗材,复写纸,9,15,135,华南,2026-04-09
ORD-096,电子产品,耳机,4,199,796,华北,2026-04-10
ORD-097,服装鞋帽,西装,1,1299,1299,华东,2026-04-11
ORD-098,食品饮料,奶粉,3,168,504,华南,2026-04-12
ORD-099,家居用品,花瓶,2,89,178,华北,2026-04-13
ORD-100,办公耗材,笔筒,7,25,175,华东,2026-04-14
